function,address,instruction,src_regs(USE),dst_regs(DEF),indirect_call,indirect_jump,is_ret,indirect_type,indirect_severity,dfi_violation,violation_reason
register_tm_clones,0x2480,jmp *%rax,rax,-,No,Yes,No,reg_based,high,WARNING,indirect jump reg_based target rax L1: defined at 0x2474; indirect jump reg_based target rax L2: terminal (param) at register_tm_clones
register_tm_clones,0x2482,"nopw 0x0(%rax,%rax,1)",-,-,No,No,No,-,none,OK,none
register_tm_clones,0x2488,ret,rsp,rsp,No,Yes,Yes,ret,high,OK,none
register_tm_clones,0x2489,nopl 0x0(%rax),-,-,No,No,No,-,none,OK,none
__do_global_dtors_aux,0x2490,endbr64,-,-,No,No,No,-,none,OK,none
__do_global_dtors_aux,0x2494,"cmpb $0x0,0x2cd5(%rip)",-,-,No,No,No,-,none,OK,none
__do_global_dtors_aux,0x249b,jne 24c8 <__do_global_dtors_aux+0x38>,-,-,No,No,No,-,none,OK,none
__do_global_dtors_aux,0x249d,push %rbp,rbp,rsp,No,No,No,-,none,OK,none
__do_global_dtors_aux,0x249e,"cmpq $0x0,0x2b3a(%rip)",-,-,No,No,No,-,none,OK,none
__do_global_dtors_aux,0x24a6,"mov %rsp,%rbp",rsp,rbp,No,No,No,-,none,OK,none
__do_global_dtors_aux,0x24a9,je 24b7 <__do_global_dtors_aux+0x27>,-,-,No,No,No,-,none,OK,none
__do_global_dtors_aux,0x24ab,"mov 0x2c4e(%rip),%rdi",-,rdi,No,No,No,-,none,OK,none
__do_global_dtors_aux,0x24b2,call 2220 <__cxa_finalize@plt>,-,rax,No,No,No,-,none,OK,none
__do_global_dtors_aux,0x24b7,call 2420 <deregister_tm_clones>,-,rax,No,No,No,-,none,OK,none
__do_global_dtors_aux,0x24bc,"movb $0x1,0x2cad(%rip)",-,-,No,No,No,-,none,OK,none
__do_global_dtors_aux,0x24c3,pop %rbp,rsp,rbp,No,No,No,-,none,OK,none
__do_global_dtors_aux,0x24c4,ret,rsp,rsp,No,Yes,Yes,ret,high,OK,none
__do_global_dtors_aux,0x24c5,nopl (%rax),-,-,No,No,No,-,none,OK,none
