function,address,instruction,src_regs(USE),dst_regs(DEF),indirect_call,indirect_jump,is_ret,indirect_type,indirect_severity,dfi_violation,violation_reason
test_target_arg,0x1445,"mov %edx,-0xc(%rbp)","rdx,rbp",-,No,No,No,-,none,OK,none
test_target_arg,0x1448,"mov -0x4(%rbp),%edx",rbp,rdx,No,No,No,-,none,OK,none
test_target_arg,0x144b,"mov -0x8(%rbp),%eax",rbp,rax,No,No,No,-,none,OK,none
test_target_arg,0x144e,"add %eax,%edx","rax,rdx",rdx,No,No,No,-,none,OK,none
test_target_arg,0x1450,"mov -0xc(%rbp),%eax",rbp,rax,No,No,No,-,none,OK,none
test_target_arg,0x1453,"add %edx,%eax","rdx,rax",rax,No,No,No,-,none,OK,none
test_target_arg,0x1455,"mov %eax,%esi",rax,rsi,No,No,No,-,none,OK,none
test_target_arg,0x1457,"lea 0xbe6(%rip),%rax",-,rax,No,No,No,-,none,OK,none
test_target_arg,0x145e,"mov %rax,%rdi",rax,rdi,No,No,No,-,none,OK,none
test_target_arg,0x1461,"mov $0x0,%eax",-,rax,No,No,No,-,none,OK,none
test_target_arg,0x1466,call 1210 <printf@plt>,-,rax,No,No,No,-,none,OK,none
test_target_arg,0x146b,nop,-,-,No,No,No,-,none,OK,none
test_target_arg,0x146c,leave,rbp,"rsp,rbp",No,No,No,-,none,OK,none
test_target_arg,0x146d,ret,rsp,rsp,No,Yes,Yes,ret,high,OK,none
test01_global_fptr_call,0x146e,endbr64,-,-,No,No,No,-,none,OK,none
test01_global_fptr_call,0x1472,push %rbp,rbp,rsp,No,No,No,-,none,OK,none
test01_global_fptr_call,0x1473,"mov %rsp,%rbp",rsp,rbp,No,No,No,-,none,OK,none
test01_global_fptr_call,0x1476,"lea 0xbdb(%rip),%rax",-,rax,No,No,No,-,none,OK,none
test01_global_fptr_call,0x147d,"mov %rax,%rdi",rax,rdi,No,No,No,-,none,OK,none
test01_global_fptr_call,0x1480,call 11b0 <puts@plt>,-,rax,No,No,No,-,none,OK,none
test01_global_fptr_call,0x1485,"mov 0x2b2c(%rip),%rax",-,rax,No,No,No,-,none,OK,none
test01_global_fptr_call,0x148c,"mov (%rax),%rax",rax,rax,No,No,No,-,none,OK,none
test01_global_fptr_call,0x148f,call *%rax,rax,rax,Yes,No,No,reg_based,high,WARNING,indirect call reg_based target rax L1: defined at 0x148c; indirect call reg_based target rax L2: defined at 0x1485; indirect call reg_based target rax L3: terminal (param) at test01_global_fptr_call
test01_global_fptr_call,0x1491,nop,-,-,No,No,No,-,none,OK,none
test01_global_fptr_call,0x1492,pop %rbp,rsp,rbp,No,No,No,-,none,OK,none
test01_global_fptr_call,0x1493,ret,rsp,rsp,No,Yes,Yes,ret,high,OK,none
test02_local_fptr_call,0x1494,endbr64,-,-,No,No,No,-,none,OK,none
test02_local_fptr_call,0x1498,push %rbp,rbp,rsp,No,No,No,-,none,OK,none
test02_local_fptr_call,0x1499,"mov %rsp,%rbp",rsp,rbp,No,No,No,-,none,OK,none
