function,address,instruction,src_regs(USE),dst_regs(DEF),indirect_call,indirect_jump,is_ret,indirect_type,indirect_severity,dfi_violation,violation_reason
test_ifelse,0x12aa,"mov %rsp,%rbp",rsp,rbp,No,No,No,-,none,OK,none
test_ifelse,0x12ad,"sub $0x10,%rsp",rsp,"rsp,eflags",No,No,No,-,none,OK,none
test_ifelse,0x12b1,"mov %edi,-0x4(%rbp)","rdi,rbp",-,No,No,No,-,none,OK,none
test_ifelse,0x12b4,"cmpl $0x0,-0x4(%rbp)",rbp,eflags,No,No,No,-,none,OK,none
test_ifelse,0x12b8,jle 12d5 <test_ifelse+0x30>,eflags,-,No,No,No,-,none,OK,none
test_ifelse,0x12ba,"mov -0x4(%rbp),%eax",rbp,rax,No,No,No,-,none,OK,none
test_ifelse,0x12bd,"mov %eax,%esi",rax,rsi,No,No,No,-,none,OK,none
test_ifelse,0x12bf,"lea 0xdb3(%rip),%rax",-,rax,No,No,No,-,none,OK,none
test_ifelse,0x12c6,"mov %rax,%rdi",rax,rdi,No,No,No,-,none,OK,none
test_ifelse,0x12c9,"mov $0x0,%eax",-,rax,No,No,No,-,none,OK,none
test_ifelse,0x12ce,call 10d0 <printf@plt>,-,rax,No,No,No,-,none,OK,none
test_ifelse,0x12d3,jmp 1305 <test_ifelse+0x60>,-,-,No,No,No,-,none,OK,none
test_ifelse,0x12d5,"cmpl $0x0,-0x4(%rbp)",rbp,eflags,No,No,No,-,none,OK,none
test_ifelse,0x12d9,jns 12f6 <test_ifelse+0x51>,eflags,-,No,No,No,-,none,OK,none
test_ifelse,0x12db,"mov -0x4(%rbp),%eax",rbp,rax,No,No,No,-,none,OK,none
test_ifelse,0x12de,"mov %eax,%esi",rax,rsi,No,No,No,-,none,OK,none
test_ifelse,0x12e0,"lea 0xda8(%rip),%rax",-,rax,No,No,No,-,none,OK,none
test_ifelse,0x12e7,"mov %rax,%rdi",rax,rdi,No,No,No,-,none,OK,none
test_ifelse,0x12ea,"mov $0x0,%eax",-,rax,No,No,No,-,none,OK,none
test_ifelse,0x12ef,call 10d0 <printf@plt>,-,rax,No,No,No,-,none,OK,none
test_ifelse,0x12f4,jmp 1305 <test_ifelse+0x60>,-,-,No,No,No,-,none,OK,none
test_ifelse,0x12f6,"lea 0xda8(%rip),%rax",-,rax,No,No,No,-,none,OK,none
